ID	DOCULECT	PARAMETER	VALUE	IPA	TOKENS	ALIGNMENT	COGID	NOTE
1188	Proto-Germanic	*dalaz	*dalaz	dalaz	d a l a z	d a l ( a z )	324	
1189	German	*dalaz	Tal	taːl	t aː l	t aː l ( - - )	324	
1190	English	*dalaz	dale	deɪl	d eɪ l	d eɪ l ( - - )	324	
1191	Dutch	*dalaz	dal	dɑl	d ɑ l	d ɑ l ( - - )	324	
1192	Proto-Germanic	*talaz	*talaz	talaz	t a l a z	t a l ( a z )	325	
1193	German	*talaz	Zahl	t͡saːl	ts aː l	ts aː l ( - - )	325	
1194	Dutch	*talaz	taal	taːl	t aː l	t aː l ( - - )	325	
1195	Proto-Germanic	*setjanan	*setjanan	setjanan	s e t j a n a n	s e t j a n ( a n )	326	
1196	German	*setjanan	sitzen	zɪt͡sən	z ɪ ts ə n	z ɪ ts - ə n ( - - )	326	
1197	English	*setjanan	sit	sɪt	s ɪ t	s ɪ t - - - ( - - )	326	
1198	Dutch	*setjanan	zitten	zɪtə	z ɪ t ə	z ɪ t - ə - ( - - )	326	
1199	Proto-Germanic	*skūrō	*skūrō	skuːroː	s k uː r oː	s k uː - r ( oː )	327	
1200	German	*skūrō	Schauer	ʃauər	ʃ au ə r	ʃ - au ə r ( - )	327	
1201	English	*skūrō	shower	ʃaʊər	ʃ aʊ ə r	ʃ - aʊ ə r ( - )	327	
1202	Proto-Germanic	*igilaz/igulaz	*igilaz/igulaz	igilaz/igulaz	i g i l a z	i g i l ( a z )	329	
1203	German	*igilaz/igulaz	Igel	iːɡəl	iː g ə l	iː g ə l ( - - )	329	
1204	Dutch	*igilaz/igulaz	egel	eːɣəl	eː ɣ ə l	eː ɣ ə l ( - - )	329	
1205	Proto-Germanic	*tangō	*tangō	tangoː	t a n g oː	t a n g oː ( - )	330	
1206	German	*tangō	Zange	t͡saŋə	ts a ŋ ə	ts a ŋ - ə ( - )	330	
1207	English	*tangō	tongs	tɔŋz	t ɔ ŋ z	t ɔ ŋ - - ( z )	330	
1208	Dutch	*tangō	tang	tɑŋ	t ɑ ŋ	t ɑ ŋ - - ( - )	330	
1209	Proto-Germanic	*snīθanan	*snīθanan	sniːθanan	s n iː θ a n a n	s n iː θ a n ( a n )	331	
1210	German	*snīθanan	schneiden	ʃnaidən	ʃ n ai d ə n	ʃ n ai d ə n ( - - )	331	
1211	Dutch	*snīθanan	snijden	snɛɪdə	s n ɛɪ d ə	s n ɛɪ d ə - ( - - )	331	
1212	Proto-Germanic	*felxanan	*felxanan	felxanan	f e l x a n a n	f e l x a ( n a n )	332	
1213	German	*felxanan	Felge	fɛlɡə	f ɛ l g ə	f ɛ l g ə ( - - - )	332	
1214	Dutch	*felxanan	velg	vɛlx	v ɛ l x	v ɛ l x - ( - - - )	332	
1215	Proto-Germanic	*saltan	*saltan	saltan	s a l t a n	s a l t ( a n )	333	
1216	German	*saltan	Salz	zalt͡s	z a l ts	z a l ts ( - - )	333	
1217	English	*saltan	salt	sɔːlt	s ɔː l t	s ɔː l t ( - - )	333	
1218	Dutch	*saltan	zout	zɑut	z ɑu t	z ɑu - t ( - - )	333	
1219	Proto-Germanic	*trugan	*trugan	trugan	t r u g a n	t r u g ( a n )	334	
1220	German	*trugan	Trog	troːk	t r oː k	t r oː k ( - - )	334	
1221	English	*trugan	trough	trɔf	t r ɔ f	t r ɔ f ( - - )	334	
1222	Proto-Germanic	*skībōn	*skībōn	skiːboːn	s k iː b oː n	s k iː b oː ( n )	335	
1223	German	*skībōn	Scheibe	ʃaibə	ʃ ai b ə	ʃ - ai b ə ( - )	335	
1224	Dutch	*skībōn	schijf	sxɛɪf	s x ɛɪ f	s x ɛɪ f - ( - )	335	
1225	Proto-Germanic	*metanan	*metanan	metanan	m e t a n a n	m e t a n ( a n )	336	
1226	German	*metanan	messen	mɛsən	m ɛ s ə n	m ɛ s ə n ( - - )	336	
1227	Dutch	*metanan	meten	meːtə	m eː t ə	m eː t ə - ( - - )	336	
1228	Proto-Germanic	*fleuxanan	*fleuxanan	fleuxanan	f l eu x a n a n	f l eu x a n ( a n )	337	
1229	German	*fleuxanan	fliehen	fliːən	f l iː ə n	f l iː - ə n ( - - )	337	
1230	English	*fleuxanan	flee	fliː	f l iː	f l iː - - - ( - - )	337	
1231	Dutch	*fleuxanan	vlieden	vliːdə	v l iː d ə	v l iː d ə - ( - - )	337	IR
1232	Proto-Germanic	*sparrōn	*sparrōn	sparroːn	s p a r oː n	s p a r oː n	338	
1233	German	*sparrōn	Sparren	ʃparən	ʃ p a r ə n	ʃ p a r ə n	338	
1234	English	*sparrōn	spar	spɑːr	s p ɑː r	s p ɑː r - -	338	
1235	Dutch	*sparrōn	spar	spɑr	s p ɑ r	s p ɑ r - -	338	
1236	Proto-Germanic	*xōrōn	*xōrōn	xoːroːn	x oː r oː n	x oː r oː ( n )	339	
1237	German	*xōrōn	Hure	huːrə	h uː r ə	h uː r ə ( - )	339	
1238	English	*xōrōn	whore	hɔːr	h ɔː r	h ɔː r - ( - )	339	
1239	Dutch	*xōrōn	hoer	huːr	h uː r	h uː r - ( - )	339	
1240	Proto-Germanic	*dugunθiz	*dugunθiz	dugunθiz	d u g u n θ i z	d u g u n θ i z	340	
1241	German	*dugunθiz	Tugend	tuːɡənt	t uː g ə n t	t uː g ə n d - -	340	
1242	Dutch	*dugunθiz	deugd	døːxt	d øː x t	d øː x - - t - -	340	
1243	Proto-Germanic	*drībanan	*drībanan	driːbanan	d r iː b a n a n	d r iː b a n ( a n )	341	
1244	German	*drībanan	treiben	traibən	t r ai b ə n	t r ai b ə n ( - - )	341	
1245	English	*drībanan	drive	draɪv	d r aɪ v	d r aɪ v - - ( - - )	341	
1246	Dutch	*drībanan	drijven	drɛɪvə	d r ɛɪ v ə	d r ɛɪ v ə - ( - - )	341	
1247	Proto-Germanic	*kwiθuz	*kwiθuz	kwiθuz	k w i θ u z	k w i θ ( u z )	342	
1248	German	*kwiθuz	Kitt	kɪt	k ɪ t	k - ɪ t ( - - )	342	
1249	English	*kwiθuz	cud	kʌd	k ʌ d	k - ʌ d ( - - )	342	
1250	Dutch	*kwiθuz	kit	kɪt	k ɪ t	k - ɪ t ( - - )	342	
1251	Proto-Germanic	*xaldanan	*xaldanan	xaldanan	x a l d a n a n	x a l d a n ( a n )	343	
1252	German	*xaldanan	halten	haltən	h a l t ə n	h a l t ə n ( - - )	343	
1253	English	*xaldanan	hold	həʊld	h əʊ l d	h əʊ l d - - ( - - )	343	
1254	Dutch	*xaldanan	houden	hɑudə	h ɑu d ə	h ɑu - d ə - ( - - )	343	
1255	Proto-Germanic	*strawan	*strawan	strawan	s t r a w a n	s t r a ( w a n )	344	
1256	German	*strawan	Stroh	ʃtroː	ʃ t r oː	ʃ t r oː ( - - - )	344	
1257	English	*strawan	straw	strɔː	s t r ɔː	s t r ɔː ( - - - )	344	
1258	Dutch	*strawan	stro	stroː	s t r oː	s t r oː ( - - - )	344	
1259	Proto-Germanic	*tuxtiz	*tuxtiz	tuxtiz	t u x t i z	t u x t ( i z )	345	
1260	German	*tuxtiz	Zucht	t͡sʊxt	ts ʊ x t	ts ʊ x t ( - - )	345	
1261	Dutch	*tuxtiz	tucht	tʉxt	t ʉ x t	t ʉ x t ( - - )	345	
1262	Proto-Germanic	*fiskaz	*fiskaz	fiskaz	f i s k a z	f i s k ( a z )	346	
1263	German	*fiskaz	Fisch	fɪʃ	f ɪ ʃ	f ɪ ʃ - ( - - )	346	
1264	English	*fiskaz	fish	fɪʃ	f ɪ ʃ	f ɪ ʃ - ( - - )	346	
1265	Dutch	*fiskaz	vis	vɪs	v ɪ s	v ɪ s - ( - - )	346	
1266	Proto-Germanic	*waldanan	*waldanan	waldanan	w a l d a n a n	w a l d a n ( a n )	347	
1267	German	*waldanan	walten	valtən	v a l t ə n	v a l t ə n ( - - )	347	
1268	English	*waldanan	wield	ʋiːld	ʋ iː l d	ʋ iː l d - - ( - - )	347	
1269	Proto-Germanic	*wasjanan	*wasjanan	wasjanan	w a s j a n a n	w a s j a n ( a n )	348	
1270	German	*wasjanan	wehren	veːrən	v eː r ə n	v eː r - ə n ( - - )	348	
1271	Dutch	*wasjanan	weren	ʋeːrə	ʋ eː r ə	ʋ eː r - ə - ( - - )	348	
1272	Proto-Germanic	*waiθiz	*waiθiz	waiθiz	w ai θ i z	w ai θ i z	349	
1273	German	*waiθiz	Weide	vaidə	v ai d ə	v ai d ə -	349	
1274	English	*waiθiz	withy	ʋɪðɪ	ʋ ɪ ð ɪ	ʋ ɪ ð ɪ -	349	
1275	Dutch	*waiθiz	weide	ʋɛɪdə	ʋ ɛɪ d ə	ʋ ɛɪ d ə -	349	
1276	Proto-Germanic	*θelan	*θelan	θelan	θ e l a n	θ e l a ( n )	350	
1277	German	*θelan	Diele	diːlə	d iː l ə	d iː l ə ( - )	350	
1278	Dutch	*θelan	deel	deːl	d eː l	d eː l - ( - )	350	
1279	Proto-Germanic	*wabsaz	*wabsaz	wabsaz	w a b s a z	w a - b s ( a z )	351	
1280	German	*wabsaz	Wespe	vɛspə	v ɛ s p ə	v ɛ s p - ( ə - )	351	
1281	English	*wabsaz	wasp	ʋɔsp	ʋ ɔ s p	ʋ ɔ s p - ( - - )	351	
1282	Dutch	*wabsaz	wesp	ʋɛsp	ʋ ɛ s p	ʋ ɛ s p - ( - - )	351	
1283	Proto-Germanic	*swalgwōn	*swalgwōn	swalgwoːn	s w a l g w oː n	s w a l - w oː ( n )	352	
1284	German	*swalgwōn	Schwalbe	ʃvalbə	ʃ v a l b ə	ʃ v a l - b ə ( - )	352	
1285	English	*swalgwōn	swallow	sʋɔləʊ	s ʋ ɔ l əʊ	s ʋ ɔ l - əʊ - ( - )	352	
1286	Dutch	*swalgwōn	zwaluw	zʋaːlyːʋ	z ʋ aː l yː ʋ	z ʋ aː l yː ʋ - ( - )	352	
1287	Proto-Germanic	*skawōjanan	*skawōjanan	skawoːjanan	s k a w oː j a n a n	s k a w oː j a n ( a n )	353	
1288	German	*skawōjanan	schauen	ʃauən	ʃ au ə n	ʃ - au - - - ə n ( - - )	353	
1289	English	*skawōjanan	show	ʃəʊ	ʃ əʊ	ʃ - əʊ - - - - - ( - - )	353	
1290	Dutch	*skawōjanan	schouwen	sxɑuʋə	s x ɑu ʋ ə	s x ɑu ʋ - - ə - ( - - )	353	
1291	Proto-Germanic	*wīgjanan	*wīgjanan	wiːgjanan	w iː g j a n a n	w iː g j a n ( a n )	354	
1292	German	*wīgjanan	weihen	vaiən	v ai ə n	v ai - - ə n ( - - )	354	
1293	Dutch	*wīgjanan	wijden	ʋɛɪdə	ʋ ɛɪ d ə	ʋ ɛɪ d - ə - ( - - )	354	
1294	Proto-Germanic	*gansz	*gansz	gansz	g a n s z	g a n s ( z )	355	
1295	German	*gansz	Gans	ɡans	g a n s	g a n s ( - )	355	
1296	English	*gansz	goose	ɡuːs	g uː s	g uː - s ( - )	355	
1297	Dutch	*gansz	gans	xɑns	x ɑ n s	x ɑ n s ( - )	355	
1298	Proto-Germanic	*baugjanan	*baugjanan	baugjanan	b au g j a n a n	b au g j a n ( a n )	356	
1299	German	*baugjanan	beugen	bɔyɡən	b ɔy g ə n	b ɔy g - ə n ( - - )	356	
1300	English	*baugjanan	bow	bəʊ	b əʊ	b əʊ - - - - ( - - )	356	
1301	Dutch	*baugjanan	buigen	bœyɣə	b œy ɣ ə	b œy ɣ - ə - ( - - )	356	
1302	Proto-Germanic	*burdan	*burdan	burdan	b u r d a n	b u r d ( a n )	357	
1303	German	*burdan	Bord	bɔrt	b ɔ r t	b ɔ r d ( - - )	357	BOR
1304	English	*burdan	board	bɔːd	b ɔː d	b ɔː - d ( - - )	357	
1305	Dutch	*burdan	bord	bɔrt	b ɔ r t	b ɔ r t ( - - )	357	
1306	Proto-Germanic	*raipan	*raipan	raipan	r ai p a n	r ai p ( a n )	358	
1307	German	*raipan	Reif	raif	r ai f	r ai f ( - - )	358	
1308	English	*raipan	rope	rəʊp	r əʊ p	r əʊ p ( - - )	358	
1309	Dutch	*raipan	rijp	rɛɪp	r ɛɪ p	r ɛɪ p ( - - )	358	
1310	Proto-Germanic	*daupjanan	*daupjanan	daupjanan	d au p j a n a n	d au p j a n ( a n )	359	
1311	German	*daupjanan	taufen	taufən	t au f ə n	t au f - ə n ( - - )	359	
1312	Dutch	*daupjanan	dopen	doːpə	d oː p ə	d oː p - ə - ( - - )	359	
1313	Proto-Germanic	*baθan	*baθan	baθan	b a θ a n	b a θ ( a n )	360	
1314	German	*baθan	Bad	baːt	b aː t	b aː t ( - - )	360	
1315	English	*baθan	bath	bɑːθ	b ɑː θ	b ɑː θ ( - - )	360	
1316	Dutch	*baθan	bad	bɑt	b ɑ t	b ɑ t ( - - )	360	
1317	Proto-Germanic	*fastēnan	*fastēnan	fasteːnan	f a s t eː n a n	f a s t eː n a n	361	
1318	German	*fastēnan	fasten	fastən	f a s t ə n	f a s t ə - - n	361	
1319	English	*fastēnan	fast	fɑːst	f ɑː s t	f ɑː s t - - - -	361	
1320	Dutch	*fastēnan	vasten	vɑstə	v ɑ s t ə	v ɑ s t ə - - -	361	
1321	Proto-Germanic	*westanē	*westanē	westaneː	w e s t a n eː	w e s t a n ( eː )	362	
1322	German	*westanē	Westen	vɛstən	v ɛ s t ə n	v ɛ s t ə n ( - )	362	
1323	English	*westanē	west	ʋɛst	ʋ ɛ s t	ʋ ɛ s t - - ( - )	362	
1324	Dutch	*westanē	westen	ʋɛstə	ʋ ɛ s t ə	ʋ ɛ s t ə - ( - )	362	
1325	Proto-Germanic	*saiwalō	*saiwalō	saiwaloː	s ai w a l oː	s ai w a l oː	363	
1326	German	*saiwalō	Seele	zeːlə	z eː l ə	z eː - - l ə	363	
1327	English	*saiwalō	soul	səʊl	s əʊ l	s əʊ - - l -	363	
1328	Dutch	*saiwalō	ziel	ziːl	z iː l	z iː - - l -	363	
1329	Proto-Germanic	*lustuz	*lustuz	lustuz	l u s t u z	l u s t ( u z )	364	
1330	German	*lustuz	Lust	lʊst	l ʊ s t	l ʊ s t ( - - )	364	
1331	English	*lustuz	lust	lʌst	l ʌ s t	l ʌ s t ( - - )	364	
1332	Dutch	*lustuz	lust	lʉst	l ʉ s t	l ʉ s t ( - - )	364	
1333	Proto-Germanic	*etanan	*etanan	etanan	e t a n a n	e t a n ( a n )	365	
1334	German	*etanan	essen	ɛsən	ɛ s ə n	ɛ s ə n ( - - )	365	
1335	English	*etanan	eat	iːt	iː t	iː t - - ( - - )	365	
1336	Dutch	*etanan	eten	eːtə	eː t ə	eː t ə - ( - - )	365	
1337	Proto-Germanic	*xabēnan	*xabēnan	xabeːnan	x a b eː n a n	x a b eː n ( a n )	366	
1338	German	*xabēnan	haben	haːbən	h aː b ə n	h aː b ə n ( - - )	366	
1339	English	*xabēnan	have	hæv	h æ v	h æ v - - ( - - )	366	
1340	Dutch	*xabēnan	hebben	hɛbə	h ɛ b ə	h ɛ b ə - ( - - )	366	
1341	Proto-Germanic	*bandan	*bandan	bandan	b a n d a n	b a n d ( a n )	367	
1342	German	*bandan	Band	bant	b a n t	b a n t ( - - )	367	
1343	Dutch	*bandan	band	bɛnt	b ɛ n t	b ɛ n t ( - - )	367	
1344	Proto-Germanic	*xazwaz	*xazwaz	xazwaz	x a z w a z	x a z ( w a z )	368	
1345	German	*xazwaz	Haar	haːr	h aː r	h aː r ( - - - )	368	
1346	English	*xazwaz	hair	hɛər	h ɛə r	h ɛə r ( - - - )	368	
1347	Dutch	*xazwaz	haar	haːr	h aː r	h aː r ( - - - )	368	
1348	Proto-Germanic	*θreskanan	*θreskanan	θreskanan	θ r e s k a n a n	θ - r e s k a n ( a n )	370	
1349	German	*θreskanan	dreschen	drɛʃən	d r ɛ ʃ ə n	d - r ɛ ʃ - ə n ( - - )	370	
1350	English	*θreskanan	thrash	θræʃ	θ r æ ʃ	θ - r æ ʃ - - - ( - - )	370	
1351	Dutch	*θreskanan	dorsen	dɔrsə	d ɔ r s ə	d ɔ r - s - ə - ( - - )	370	
1352	Proto-Germanic	*landan	*landan	landan	l a n d a n	l a n d ( a n )	371	
1353	German	*landan	Land	lant	l a n t	l a n d ( - - )	371	
1354	English	*landan	land	lænd	l æ n d	l æ n d ( - - )	371	
1355	Dutch	*landan	land	lɑnt	l ɑ n t	l ɑ n t ( - - )	371	
1356	Proto-Germanic	*spannanan	*spannanan	spannanan	s p a nn a n a n	s p a nn a n ( a n )	372	
1357	German	*spannanan	spannen	ʃpanən	ʃ p a n ə n	ʃ p a n ə n ( - - )	372	
1358	English	*spannanan	span	spæn	s p æ n	s p æ n - - ( - - )	372	
1359	Dutch	*spannanan	spannen	spɑnə	s p ɑ n ə	s p ɑ n ə - ( - - )	372	
1360	Proto-Germanic	*straumaz	*straumaz	straumaz	s t r au m a z	s t r au m ( a z )	373	
1361	German	*straumaz	Strom	ʃtroːm	ʃ t r oː m	ʃ t r oː m ( - - )	373	
1362	English	*straumaz	stream	striːm	s t r iː m	s t r iː m ( - - )	373	
1363	Dutch	*straumaz	stroom	stroːm	s t r oː m	s t r oː m ( - - )	373	
1364	Proto-Germanic	*sūpanan	*sūpanan	suːpanan	s uː p a n a n	s uː p a n ( a n )	374	
1365	German	*sūpanan	saufen	zaufən	z au f ə n	z au f ə n ( - - )	374	
1366	English	*sūpanan	sup	sʌp	s ʌ p	s ʌ p - - ( - - )	374	
1367	Dutch	*sūpanan	zuipen	zœypə	z œy p ə	z œy p ə - ( - - )	374	
1368	Proto-Germanic	*skēpan	*skēpan	skeːpan	s k eː p a n	s k eː p ( a n )	375	
1369	German	*skēpan	Schaf	ʃaːf	ʃ aː f	ʃ - aː f ( - - )	375	
1370	English	*skēpan	sheep	ʃiːp	ʃ iː p	ʃ - iː p ( - - )	375	
1371	Dutch	*skēpan	schaap	sxaːp	s x aː p	s x aː p ( - - )	375	
1372	Proto-Germanic	*rextjanan	*rextjanan	rextjanan	r e x t j a n a n	r e x t j a n ( a n )	376	
1373	German	*rextjanan	richten	rɪxtən	r ɪ x t ə n	r ɪ x t - ə n ( - - )	376	
1374	Dutch	*rextjanan	richten	rɪxtə	r ɪ x t ə	r ɪ x t - ə - ( - - )	376	
1375	Proto-Germanic	*wixslan	*wixslan	wixslan	w i x s l a n	w i x s - l ( a n )	377	
1376	German	*wixslan	Wechsel	vɛksəl	v ɛ k s ə l	v ɛ k s ə l ( - - )	377	
1377	Dutch	*wixslan	wissel	ʋɪsəl	ʋ ɪ s ə l	ʋ ɪ - s ə l ( - - )	377	
1378	Proto-Germanic	*sandjanan	*sandjanan	sandjanan	s a n d j a n a n	s a n d j a n ( a n )	378	
1379	German	*sandjanan	senden	zɛndən	z ɛ n d ə n	z ɛ n d - ə n ( - - )	378	
1380	English	*sandjanan	send	sɛnd	s ɛ n d	s ɛ n d - - - ( - - )	378	
1381	Dutch	*sandjanan	zenden	zɛndə	z ɛ n d ə	z ɛ n d - ə - ( - - )	378	
1382	Proto-Germanic	*rukkiz	*rukkiz	rukkiz	r u kk i z	r u kk ( i z )	379	
1383	German	*rukkiz	Ruck	rʊk	r ʊ k	r ʊ k ( - - )	379	
1384	English	*rukkiz	rock	rɔk	r ɔ k	r ɔ k ( - - )	379	
1385	Dutch	*rukkiz	ruk	rʉk	r ʉ k	r ʉ k ( - - )	379	
1386	Proto-Germanic	*tauxmaz	*tauxmaz	tauxmaz	t au x m a z	t au x m ( a z )	380	
1387	German	*tauxmaz	Zaum	t͡saum	ts au m	ts au - m ( - - )	380	
1388	English	*tauxmaz	team	tiːm	t iː m	t iː - m ( - - )	380	
1389	Dutch	*tauxmaz	toom	toːm	t oː m	t oː - m ( - - )	380	
1390	Proto-Germanic	*leusanan	*leusanan	leusanan	l eu s a n a n	( - - - ) l eu s a n ( a n )	381	
1391	German	*leusanan	verlieren	fɛrliːrən	f ɛ r l iː r ə n	( f ɛ r ) l iː r ə n ( - - )	381	
1392	English	*leusanan	forlorn	fəlɔːn	f ə l ɔː n	( f ə - ) l ɔː - - - ( n - )	381	
1393	Dutch	*leusanan	verliezen	vərliːzə	v ə r l iː z ə	( v ə r ) l iː z ə - ( - - )	381	
1394	Proto-Germanic	*stelljanan	*stelljanan	stelljanan	s t e ll j a n a n	s t e ll j a n ( a n )	382	
1395	German	*stelljanan	stillen	ʃtɪlən	ʃ t ɪ l ə n	ʃ t ɪ l - ə n ( - - )	382	
1396	English	*stelljanan	still	stɪl	s t ɪ l	s t ɪ l - - - ( - - )	382	
1397	Dutch	*stelljanan	stillen	stɪlə	s t ɪ l ə	s t ɪ l - ə - ( - - )	382	
1398	Proto-Germanic	*skīnanan	*skīnanan	skiːnanan	s k iː n a n a n	s k iː n a n ( a n )	383	
1399	German	*skīnanan	scheinen	ʃainən	ʃ ai n ə n	ʃ - ai n ə n ( - - )	383	
1400	English	*skīnanan	shine	ʃaɪn	ʃ aɪ n	ʃ - aɪ n - - ( - - )	383	
1401	Dutch	*skīnanan	schijnen	sxɛɪnə	s x ɛɪ n ə	s x ɛɪ n ə - ( - - )	383	
1402	Proto-Germanic	*stabiz	*stabiz	stabiz	s t a b i z	s t a b ( i z )	384	
1403	German	*stabiz	Stab	ʃtaːp	ʃ t aː p	ʃ t aː b ( - - )	384	
1404	English	*stabiz	staff	stɑːf	s t ɑː f	s t ɑː f ( - - )	384	
1405	Dutch	*stabiz	staf	stɑf	s t ɑ f	s t ɑ f ( - - )	384	
1406	Proto-Germanic	*θegwernō	*θegwernō	θegwernoː	θ e g w e r n oː	θ e g w e r n oː	385	
1407	German	*θegwernō	Dirne	dɪrnə	d ɪ r n ə	d ɪ - - - r n ə	385	
1408	Dutch	*θegwernō	deern	deːrn	d eː r n	d eː - - - r n -	385	
1409	Proto-Germanic	*flōduz	*flōduz	floːduz	f l oː d u z	f l oː d ( u z )	386	
1410	German	*flōduz	Flut	fluːt	f l uː t	f l uː t ( - - )	386	
1411	English	*flōduz	flood	flʌd	f l ʌ d	f l ʌ d ( - - )	386	
1412	Dutch	*flōduz	vloed	vluːt	v l uː t	v l uː t ( - - )	386	
1413	Proto-Germanic	*stainaz	*stainaz	stainaz	s t ai n a z	s t ai n ( a z )	387	
1414	German	*stainaz	Stein	ʃtain	ʃ t ai n	ʃ t ai n ( - - )	387	
1415	English	*stainaz	stone	stəʊn	s t əʊ n	s t əʊ n ( - - )	387	
1416	Dutch	*stainaz	steen	steːn	s t eː n	s t eː n ( - - )	387	
1417	Proto-Germanic	*bugōn	*bugōn	bugoːn	b u g oː n	b u g oː n	388	
1418	German	*bugōn	Bogen	boːɡən	b oː g ə n	b oː g ə n	388	
1419	English	*bugōn	bow	bəʊ	b əʊ	b əʊ - - -	388	
1420	Dutch	*bugōn	boog	boːx	b oː x	b oː x - -	388	
1421	Proto-Germanic	*listiz	*listiz	listiz	l i s t i z	l i s t ( i z )	389	
1422	German	*listiz	List	lɪst	l ɪ s t	l ɪ s t ( - - )	389	
1423	Dutch	*listiz	list	lɪst	l ɪ s t	l ɪ s t ( - - )	389	
1424	Proto-Germanic	*skeranan	*skeranan	skeranan	s k e r a n a n	s k e r a n ( a n )	390	
1425	German	*skeranan	scheren	ʃeːrən	ʃ eː r ə n	ʃ - eː r ə n ( - - )	390	
1426	English	*skeranan	shear	ʃɪər	ʃ ɪə r	ʃ - ɪə r - - ( - - )	390	
1427	Dutch	*skeranan	scheren	sxeːrə	s x eː r ə	s x eː r ə - ( - - )	390	
1428	Proto-Germanic	*bakanan	*bakanan	bakanan	b a k a n a n	b a kk a n ( a n )	391	
1429	German	*bakanan	backen	bakən	b a k ə n	b a k ə n ( - - )	391	BOR
1430	English	*bakanan	bake	beɪk	b eɪ k	b eɪ k - - ( - - )	391	
1431	Dutch	*bakanan	bakken	bɑkə	b ɑ k ə	b ɑ k ə - ( - - )	391	
1432	Proto-Germanic	*wangon	*wangon	wangon	w a n g o n	w a n g o ( n )	392	
1433	German	*wangon	Wange	vaŋə	v a ŋ ə	v a ŋ - ə ( - )	392	
1434	Dutch	*wangon	wang	ʋɑŋ	ʋ ɑ ŋ	ʋ ɑ ŋ - - ( - )	392	
1435	Proto-Germanic	*līstōn	*līstōn	liːstoːn	l iː s t oː n	l iː s t oː ( n )	393	
1436	German	*līstōn	Leiste	laistə	l ai s t ə	l ai s t ə ( - )	393	
1437	English	*līstōn	list	lɪst	l ɪ s t	l ɪ s t - ( - )	393	
1438	Dutch	*līstōn	lijst	lɛɪst	l ɛɪ s t	l ɛɪ s t - ( - )	393	
1439	Proto-Germanic	*skeubanan	*skeubanan	skeubanan	s k eu b a n a n	s k eu b a n ( a n )	394	
1440	German	*skeubanan	schieben	ʃiːbən	ʃ iː b ə n	ʃ - iː b ə n ( - - )	394	
1441	English	*skeubanan	shove	ʃʌv	ʃ ʌ v	ʃ - ʌ v - - ( - - )	394	
1442	Dutch	*skeubanan	schuiven	sxœyvə	s x œy v ə	s x œy v ə - ( - - )	394	
1443	Proto-Germanic	*xelpanan	*xelpanan	xelpanan	x e l p a n a n	x e l p a n ( a n )	395	
1444	German	*xelpanan	helfen	hɛlfən	h ɛ l f ə n	h ɛ l f ə n ( - - )	395	
1445	English	*xelpanan	help	hɛlp	h ɛ l p	h ɛ l p - - ( - - )	395	
1446	Dutch	*xelpanan	helpen	hɛlpə	h ɛ l p ə	h ɛ l p ə - ( - - )	395	
1447	Proto-Germanic	*fulōn	*fulōn	fuloːn	f u l oː n	f u l oː n	396	
1448	German	*fulōn	Fohlen	foːlən	f oː l ə n	f oː l ə n	396	
1449	English	*fulōn	foal	fəʊl	f əʊ l	f əʊ l - -	396	
1450	Proto-Germanic	*bidjanan	*bidjanan	bidjanan	b i d j a n a n	b i d j a n ( a n )	397	
1451	German	*bidjanan	bitten	bɪtən	b ɪ t ə n	b ɪ t - ə n ( - - )	397	
1452	English	*bidjanan	bid	bɪd	b ɪ d	b ɪ d - - - ( - - )	397	
1453	Dutch	*bidjanan	bidden	bɪdə	b ɪ d ə	b ɪ d - ə - ( - - )	397	
1454	Proto-Germanic	*makōjanan	*makōjanan	makoːjanan	m a k oː j a n a n	m a k oː j a n ( a n )	398	
1455	German	*makōjanan	machen	maxən	m a x ə n	m a x - - ə n ( - - )	398	
1456	English	*makōjanan	make	meɪk	m eɪ k	m eɪ k - - - - ( - - )	398	
1457	Dutch	*makōjanan	maken	maːkə	m aː k ə	m aː k - - ə - ( - - )	398	
1458	Proto-Germanic	*suxtiz	*suxtiz	suxtiz	s u x t i z	s u x t ( i z )	399	
1459	German	*suxtiz	Sucht	zʊxt	z ʊ x t	z ʊ x t ( - - )	399	
1460	Dutch	*suxtiz	zucht	zʉxt	z ʉ x t	z ʉ x t ( - - )	399	
1461	Proto-Germanic	*rugiz	*rugiz	rugiz	r u g i z	r u g i ( z )	400	
1462	German	*rugiz	Roggen	rɔɡən	r ɔ g ə n	r ɔ g ə ( n )	400	
1463	English	*rugiz	rye	raɪ	r aɪ	r aɪ - - ( - )	400	
1464	Dutch	*rugiz	rogge	rɔɣə	r ɔ ɣ ə	r ɔ ɣ ə ( - )	400	
1465	Proto-Germanic	*xaliθz	*xaliθz	xaliθz	x a l i θ z	x a l i θ ( z )	401	
1466	German	*xaliθz	Held	hɛlt	h ɛ l t	h ɛ l - d ( - )	401	
1467	Dutch	*xaliθz	held	hɛlt	h ɛ l t	h ɛ l - t ( - )	401	
1468	Proto-Germanic	*reukanan	*reukanan	reukanan	r eu k a n a n	r eu k a n ( a n )	402	
1469	German	*reukanan	riechen	riːxən	r iː x ə n	r iː x ə n ( - - )	402	
1470	Dutch	*reukanan	ruiken	rœykə	r œy k ə	r œy k ə - ( - - )	402	
1471	Proto-Germanic	*landīn	*landīn	landiːn	l a n d iː n	l a n d iː ( n )	403	
